NormalizedName|Вуз|Качество приема на основании среднего балла ЕГЭ зачисленных на бюджетные места 2019|Рост/ падение 2019-2018|Количество студентов, зачисленных на бюджетные места|Из них: без экзаменов|Ср.балл рассчитан с вычетом баллов за И.Д.?
БФУ им Канта|Балтийский федеральный ун-т. им. И. Канта|75.6|2.4|952|3|Да
ДВФУ|Дальневосточный федеральный ун-т.|72.7|2.1|1858|28|Нет
МФТИ|Моск. физико-техн. ин-т.|97.3|0.9|825|366|Да
ТПУ|Национальный исследовательский Томский политехн. ун-т.|78.5|0.9|1269|39|Нет
ВШЭ|Национальный исследовательский ун-т. "Высшая школа экономики", г. Москва|95.4|0.8|2174|1010|Да
ЮУрГУ|Национальный исследовательский Южно-Уральский гос. ун-т., г. Челябинск|67.7|0.9|1703|11|Да
МИФИ|Национальный исследовательский ядерный ун-т. "МИФИ", г. Москва|93.6|3.3|602|183|Да
НовосибГУ|Новосибирский национальный исследовательский гос. ун-т.|87.8|1.4|1041|105|Да
ЛЭТИ|Санкт-Петербургский гос. электротехн. ун-т. “ЛЭТИ”|83.2|2.8|1472|19|Да
Политех|Санкт-Петербургский политехн. ун-т. Петра Великого|83.2|3.2|2693|66|Да
СибФУ|Сибирский федеральный ун-т.|68.7|2.5|3225|8|Да
ИТМО|Ун-т. ИТМО, г. Санкт-Петербург|92.7|2.5|1153|397|Да
УРФУ|Уральский федеральный ун-т. им. Б.Н. Ельцина|76.7|2.5|3428|97|Да
